id,source,status,initial_wrong,verified_success,note
0,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
1,mmlu_high_school_mathematics,Failed (Verification),2,0,All candidates failed
2,mmlu_high_school_mathematics,Success,4,2,
3,mmlu_high_school_mathematics,Success,3,1,
4,mmlu_high_school_mathematics,Success,2,2,
5,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
6,mmlu_high_school_mathematics,Failed (Verification),3,0,All candidates failed
7,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
8,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
9,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
10,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
11,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
12,mmlu_high_school_mathematics,Success,1,1,
13,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
14,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
15,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
16,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
17,mmlu_high_school_mathematics,Success,2,1,
18,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
19,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
20,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
21,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
22,mmlu_high_school_mathematics,Success,5,1,
23,mmlu_high_school_mathematics,Success,2,2,
24,mmlu_high_school_mathematics,Success,4,4,
25,mmlu_high_school_mathematics,Success,1,1,
26,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
27,mmlu_high_school_mathematics,Success,1,1,
28,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
29,mmlu_high_school_mathematics,Success,5,2,
30,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
31,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
32,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
33,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
34,mmlu_high_school_mathematics,Success,2,2,
35,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
36,mmlu_high_school_mathematics,Failed (Verification),3,0,All candidates failed
37,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
38,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
39,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
40,mmlu_high_school_mathematics,Failed (Verification),3,0,All candidates failed
41,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
42,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
43,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
44,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
45,mmlu_high_school_mathematics,Success,3,1,
46,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
47,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
48,mmlu_high_school_mathematics,Success,2,2,
49,mmlu_high_school_mathematics,Failed (Verification),4,0,All candidates failed
50,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
51,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
52,mmlu_high_school_mathematics,Success,4,2,
53,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
54,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
55,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
56,mmlu_high_school_mathematics,Success,2,2,
57,mmlu_high_school_mathematics,Failed (Verification),4,0,All candidates failed
58,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
59,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
60,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
61,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
62,mmlu_high_school_mathematics,Failed (Verification),4,0,All candidates failed
63,mmlu_high_school_mathematics,Failed (Verification),2,0,All candidates failed
64,mmlu_high_school_mathematics,Failed (Verification),2,0,All candidates failed
65,mmlu_high_school_mathematics,Success,2,1,
66,mmlu_high_school_mathematics,Failed (Verification),2,0,All candidates failed
67,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
68,mmlu_high_school_mathematics,Success,1,1,
69,mmlu_high_school_mathematics,Failed (Verification),2,0,All candidates failed
70,mmlu_high_school_mathematics,Failed (Verification),2,0,All candidates failed
71,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
72,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
73,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
74,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
75,mmlu_high_school_mathematics,Success,2,2,
76,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
77,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
78,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
79,mmlu_high_school_mathematics,Success,3,2,
80,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
81,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
82,mmlu_high_school_mathematics,Failed (Verification),3,0,All candidates failed
83,mmlu_high_school_mathematics,Success,2,2,
84,mmlu_high_school_mathematics,Success,1,1,
85,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
86,mmlu_high_school_mathematics,Success,4,3,
87,mmlu_high_school_mathematics,Success,1,1,
88,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
89,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
90,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
91,mmlu_high_school_mathematics,Success,2,1,
92,mmlu_high_school_mathematics,Success,3,1,
93,mmlu_high_school_mathematics,Failed (Verification),4,0,All candidates failed
94,mmlu_high_school_mathematics,Failed (Verification),4,0,All candidates failed
95,mmlu_high_school_mathematics,Success,1,1,
96,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
97,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
98,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
99,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
100,mmlu_high_school_chemistry,Skipped (All Correct),0,0,
