id,source,status,initial_wrong,verified_success,note
0,mmlu_abstract_algebra,Success,2,1,
1,mmlu_abstract_algebra,Success,5,2,
2,mmlu_abstract_algebra,Success,1,1,
3,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
4,mmlu_abstract_algebra,Skipped (All Correct),0,0,
5,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
6,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
7,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
8,mmlu_abstract_algebra,Skipped (All Correct),0,0,
9,mmlu_abstract_algebra,Skipped (All Correct),0,0,
10,mmlu_abstract_algebra,Skipped (All Correct),0,0,
11,mmlu_abstract_algebra,Success,2,2,
12,mmlu_abstract_algebra,Success,1,1,
13,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
14,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
15,mmlu_abstract_algebra,Skipped (All Correct),0,0,
16,mmlu_abstract_algebra,Skipped (All Correct),0,0,
17,mmlu_abstract_algebra,Skipped (All Correct),0,0,
18,mmlu_abstract_algebra,Skipped (All Correct),0,0,
19,mmlu_abstract_algebra,Skipped (All Correct),0,0,
20,mmlu_abstract_algebra,Success,2,1,
21,mmlu_abstract_algebra,Success,1,1,
22,mmlu_abstract_algebra,Skipped (All Correct),0,0,
23,mmlu_abstract_algebra,Skipped (All Correct),0,0,
24,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
25,mmlu_abstract_algebra,Success,1,1,
26,mmlu_abstract_algebra,Skipped (All Correct),0,0,
27,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
28,mmlu_abstract_algebra,Skipped (All Correct),0,0,
29,mmlu_abstract_algebra,Skipped (All Correct),0,0,
30,mmlu_abstract_algebra,Success,2,2,
31,mmlu_abstract_algebra,Skipped (All Correct),0,0,
32,mmlu_abstract_algebra,Skipped (All Correct),0,0,
33,mmlu_abstract_algebra,Skipped (All Correct),0,0,
34,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
35,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
36,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
37,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
38,mmlu_abstract_algebra,Success,1,1,
39,mmlu_abstract_algebra,Skipped (All Correct),0,0,
40,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
41,mmlu_abstract_algebra,Success,4,1,
42,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
43,mmlu_abstract_algebra,Skipped (All Correct),0,0,
44,mmlu_abstract_algebra,Success,2,1,
45,mmlu_abstract_algebra,Skipped (All Correct),0,0,
46,mmlu_abstract_algebra,Success,5,1,
47,mmlu_abstract_algebra,Skipped (All Correct),0,0,
48,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
49,mmlu_abstract_algebra,Success,3,1,
50,mmlu_abstract_algebra,Skipped (All Correct),0,0,
51,mmlu_abstract_algebra,Skipped (All Correct),0,0,
52,mmlu_abstract_algebra,Skipped (All Correct),0,0,
53,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
54,mmlu_abstract_algebra,Skipped (All Correct),0,0,
55,mmlu_abstract_algebra,Success,2,1,
56,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
57,mmlu_abstract_algebra,Success,3,1,
58,mmlu_abstract_algebra,Success,1,1,
59,mmlu_abstract_algebra,Skipped (All Correct),0,0,
60,mmlu_abstract_algebra,Success,2,2,
61,mmlu_abstract_algebra,Success,4,3,
62,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
63,mmlu_abstract_algebra,Success,3,2,
64,mmlu_abstract_algebra,Skipped (All Correct),0,0,
65,mmlu_abstract_algebra,Skipped (All Correct),0,0,
66,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
67,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
68,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
69,mmlu_abstract_algebra,Success,4,2,
70,mmlu_abstract_algebra,Success,4,2,
71,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
72,mmlu_abstract_algebra,Success,3,2,
73,mmlu_abstract_algebra,Success,1,1,
74,mmlu_abstract_algebra,Skipped (All Correct),0,0,
75,mmlu_abstract_algebra,Skipped (All Correct),0,0,
76,mmlu_abstract_algebra,Success,3,2,
77,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
78,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
79,mmlu_abstract_algebra,Skipped (All Correct),0,0,
80,mmlu_abstract_algebra,Success,1,1,
81,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
82,mmlu_abstract_algebra,Skipped (All Correct),0,0,
83,mmlu_abstract_algebra,Success,1,1,
84,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
85,mmlu_abstract_algebra,Success,1,1,
86,mmlu_abstract_algebra,Skipped (All Correct),0,0,
87,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
88,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
89,mmlu_abstract_algebra,Skipped (All Correct),0,0,
90,mmlu_abstract_algebra,Success,4,1,
91,mmlu_abstract_algebra,Skipped (All Correct),0,0,
92,mmlu_abstract_algebra,Skipped (All Correct),0,0,
93,mmlu_abstract_algebra,Success,1,1,
94,mmlu_abstract_algebra,Success,1,1,
95,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
96,mmlu_abstract_algebra,Skipped (All Correct),0,0,
97,mmlu_abstract_algebra,Success,4,1,
