id,source,status,initial_wrong,verified_success,note
0,mmlu_abstract_algebra,Skipped (All Correct),0,0,
1,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
2,mmlu_abstract_algebra,Success,1,1,
3,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
4,mmlu_abstract_algebra,Skipped (All Correct),0,0,
5,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
6,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
7,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
8,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
9,mmlu_abstract_algebra,Skipped (All Correct),0,0,
10,mmlu_abstract_algebra,Skipped (All Correct),0,0,
11,mmlu_abstract_algebra,Success,3,2,
12,mmlu_abstract_algebra,Skipped (All Correct),0,0,
13,mmlu_abstract_algebra,Success,4,1,
14,mmlu_abstract_algebra,Success,5,3,
15,mmlu_abstract_algebra,Skipped (All Correct),0,0,
16,mmlu_abstract_algebra,Success,2,2,
17,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
18,mmlu_abstract_algebra,Skipped (All Correct),0,0,
19,mmlu_abstract_algebra,Skipped (All Correct),0,0,
20,mmlu_abstract_algebra,Success,2,2,
21,mmlu_abstract_algebra,Skipped (All Correct),0,0,
22,mmlu_abstract_algebra,Skipped (All Correct),0,0,
23,mmlu_abstract_algebra,Skipped (All Correct),0,0,
24,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
25,mmlu_abstract_algebra,Success,1,1,
26,mmlu_abstract_algebra,Skipped (All Correct),0,0,
27,mmlu_abstract_algebra,Success,3,3,
28,mmlu_abstract_algebra,Skipped (All Correct),0,0,
29,mmlu_abstract_algebra,Skipped (All Correct),0,0,
30,mmlu_abstract_algebra,Success,3,1,
31,mmlu_abstract_algebra,Skipped (All Correct),0,0,
32,mmlu_abstract_algebra,Skipped (All Correct),0,0,
33,mmlu_abstract_algebra,Skipped (All Correct),0,0,
34,mmlu_abstract_algebra,Success,5,1,
35,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
36,mmlu_abstract_algebra,Success,1,1,
37,mmlu_abstract_algebra,Skipped (All Correct),0,0,
38,mmlu_abstract_algebra,Success,1,1,
39,mmlu_abstract_algebra,Skipped (All Correct),0,0,
40,mmlu_abstract_algebra,Success,2,1,
41,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
42,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
43,mmlu_abstract_algebra,Success,1,1,
44,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
45,mmlu_abstract_algebra,Skipped (All Correct),0,0,
46,mmlu_abstract_algebra,Success,4,2,
47,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
48,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
49,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
50,mmlu_abstract_algebra,Skipped (All Correct),0,0,
51,mmlu_abstract_algebra,Success,1,1,
52,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
53,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
54,mmlu_abstract_algebra,Skipped (All Correct),0,0,
55,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
56,mmlu_abstract_algebra,Success,4,1,
57,mmlu_abstract_algebra,Success,3,3,
58,mmlu_abstract_algebra,Skipped (All Correct),0,0,
59,mmlu_abstract_algebra,Skipped (All Correct),0,0,
60,mmlu_abstract_algebra,Success,1,1,
61,mmlu_abstract_algebra,Success,3,2,
62,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
63,mmlu_abstract_algebra,Success,2,1,
64,mmlu_abstract_algebra,Skipped (All Correct),0,0,
65,mmlu_abstract_algebra,Skipped (All Correct),0,0,
66,mmlu_abstract_algebra,Success,4,4,
67,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
68,mmlu_abstract_algebra,Success,2,2,
69,mmlu_abstract_algebra,Success,4,1,
70,mmlu_abstract_algebra,Success,5,1,
71,mmlu_abstract_algebra,Success,1,1,
72,mmlu_abstract_algebra,Success,2,1,
73,mmlu_abstract_algebra,Skipped (All Correct),0,0,
74,mmlu_abstract_algebra,Skipped (All Correct),0,0,
75,mmlu_abstract_algebra,Success,1,1,
76,mmlu_abstract_algebra,Success,2,1,
77,mmlu_abstract_algebra,Success,1,1,
78,mmlu_abstract_algebra,Success,2,1,
79,mmlu_abstract_algebra,Skipped (All Correct),0,0,
80,mmlu_abstract_algebra,Success,1,1,
81,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
82,mmlu_abstract_algebra,Skipped (All Correct),0,0,
83,mmlu_abstract_algebra,Skipped (All Correct),0,0,
84,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
85,mmlu_abstract_algebra,Skipped (All Correct),0,0,
86,mmlu_abstract_algebra,Skipped (All Correct),0,0,
87,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
88,mmlu_abstract_algebra,Skipped (All Correct),0,0,
89,mmlu_abstract_algebra,Skipped (All Correct),0,0,
90,mmlu_abstract_algebra,Success,3,3,
91,mmlu_abstract_algebra,Skipped (All Correct),0,0,
92,mmlu_abstract_algebra,Skipped (All Correct),0,0,
93,mmlu_abstract_algebra,Skipped (All Correct),0,0,
94,mmlu_abstract_algebra,Success,1,1,
95,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
96,mmlu_abstract_algebra,Success,1,1,
97,mmlu_abstract_algebra,Success,3,2,
98,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
99,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
100,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
101,mmlu_anatomy,Success,1,1,
102,mmlu_anatomy,Skipped (All Correct),0,0,
103,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
104,mmlu_anatomy,Skipped (All Correct),0,0,
105,mmlu_anatomy,Success,5,1,
106,mmlu_anatomy,Success,1,1,
107,mmlu_anatomy,Success,1,1,
108,mmlu_anatomy,Success,2,1,
109,mmlu_anatomy,Skipped (All Correct),0,0,
110,mmlu_anatomy,Success,5,5,
111,mmlu_anatomy,Success,2,2,
112,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
113,mmlu_anatomy,Skipped (All Correct),0,0,
114,mmlu_anatomy,Success,5,1,
115,mmlu_anatomy,Skipped (All Correct),0,0,
116,mmlu_anatomy,Skipped (All Correct),0,0,
117,mmlu_anatomy,Skipped (All Correct),0,0,
118,mmlu_anatomy,Skipped (All Correct),0,0,
119,mmlu_anatomy,Skipped (All Correct),0,0,
120,mmlu_anatomy,Skipped (All Correct),0,0,
121,mmlu_anatomy,Success,5,1,
122,mmlu_anatomy,Success,3,1,
123,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
124,mmlu_anatomy,Success,4,1,
125,mmlu_anatomy,Success,4,2,
126,mmlu_anatomy,Skipped (All Correct),0,0,
127,mmlu_anatomy,Success,4,1,
128,mmlu_anatomy,Skipped (All Correct),0,0,
129,mmlu_anatomy,Success,5,1,
130,mmlu_anatomy,Skipped (All Correct),0,0,
131,mmlu_anatomy,Success,5,1,
132,mmlu_anatomy,Skipped (All Correct),0,0,
133,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
134,mmlu_anatomy,Success,3,2,
135,mmlu_anatomy,Success,5,1,
136,mmlu_anatomy,Skipped (All Correct),0,0,
137,mmlu_anatomy,Skipped (All Correct),0,0,
138,mmlu_anatomy,Skipped (All Correct),0,0,
139,mmlu_anatomy,Skipped (All Correct),0,0,
140,mmlu_anatomy,Skipped (All Correct),0,0,
141,mmlu_anatomy,Success,5,2,
142,mmlu_anatomy,Skipped (All Correct),0,0,
143,mmlu_anatomy,Success,5,1,
144,mmlu_anatomy,Success,4,2,
145,mmlu_anatomy,Skipped (All Correct),0,0,
146,mmlu_anatomy,Skipped (All Correct),0,0,
147,mmlu_anatomy,Skipped (All Correct),0,0,
148,mmlu_anatomy,Skipped (All Correct),0,0,
149,mmlu_anatomy,Skipped (All Correct),0,0,
150,mmlu_anatomy,Skipped (All Correct),0,0,
151,mmlu_anatomy,Skipped (All Correct),0,0,
152,mmlu_anatomy,Skipped (All Correct),0,0,
153,mmlu_anatomy,Skipped (All Correct),0,0,
154,mmlu_anatomy,Success,2,2,
155,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
156,mmlu_anatomy,Skipped (All Correct),0,0,
157,mmlu_anatomy,Skipped (All Correct),0,0,
158,mmlu_anatomy,Skipped (All Correct),0,0,
159,mmlu_anatomy,Success,2,2,
160,mmlu_anatomy,Skipped (All Correct),0,0,
161,mmlu_anatomy,Skipped (All Correct),0,0,
162,mmlu_anatomy,Success,1,1,
163,mmlu_anatomy,Skipped (All Correct),0,0,
164,mmlu_anatomy,Success,5,2,
165,mmlu_anatomy,Success,1,1,
166,mmlu_anatomy,Skipped (All Correct),0,0,
167,mmlu_anatomy,Success,1,1,
168,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
169,mmlu_anatomy,Failed (Verification),3,0,All candidates failed
170,mmlu_anatomy,Success,4,1,
171,mmlu_anatomy,Skipped (All Correct),0,0,
172,mmlu_anatomy,Success,1,1,
173,mmlu_anatomy,Success,5,1,
174,mmlu_anatomy,Success,2,1,
175,mmlu_anatomy,Success,2,1,
176,mmlu_anatomy,Skipped (All Correct),0,0,
177,mmlu_anatomy,Skipped (All Correct),0,0,
178,mmlu_anatomy,Skipped (All Correct),0,0,
179,mmlu_anatomy,Success,3,2,
180,mmlu_anatomy,Skipped (All Correct),0,0,
181,mmlu_anatomy,Failed (Verification),2,0,All candidates failed
182,mmlu_anatomy,Success,1,1,
183,mmlu_anatomy,Skipped (All Correct),0,0,
184,mmlu_anatomy,Failed (Verification),1,0,All candidates failed
185,mmlu_anatomy,Success,3,2,
186,mmlu_anatomy,Skipped (All Correct),0,0,
187,mmlu_anatomy,Success,1,1,
188,mmlu_anatomy,Skipped (All Correct),0,0,
189,mmlu_anatomy,Skipped (All Correct),0,0,
190,mmlu_anatomy,Skipped (All Correct),0,0,
191,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
192,mmlu_anatomy,Success,4,2,
193,mmlu_anatomy,Skipped (All Correct),0,0,
194,mmlu_anatomy,Success,1,1,
195,mmlu_anatomy,Success,4,1,
196,mmlu_anatomy,Skipped (All Correct),0,0,
197,mmlu_anatomy,Success,2,1,
198,mmlu_anatomy,Failed (Verification),2,0,All candidates failed
199,mmlu_anatomy,Failed (Verification),1,0,All candidates failed
200,mmlu_anatomy,Skipped (All Correct),0,0,
201,mmlu_anatomy,Skipped (All Correct),0,0,
202,mmlu_anatomy,Skipped (All Correct),0,0,
203,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
204,mmlu_anatomy,Success,3,3,
205,mmlu_anatomy,Success,5,1,
206,mmlu_anatomy,Skipped (All Correct),0,0,
207,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
208,mmlu_anatomy,Skipped (All Correct),0,0,
209,mmlu_anatomy,Skipped (All Correct),0,0,
210,mmlu_anatomy,Success,3,3,
211,mmlu_anatomy,Failed (Verification),2,0,All candidates failed
212,mmlu_anatomy,Skipped (All Correct),0,0,
213,mmlu_anatomy,Skipped (All Correct),0,0,
214,mmlu_anatomy,Skipped (All Correct),0,0,
215,mmlu_anatomy,Skipped (All Correct),0,0,
216,mmlu_anatomy,Success,1,1,
217,mmlu_anatomy,Skipped (All Correct),0,0,
218,mmlu_anatomy,Failed (Verification),3,0,All candidates failed
219,mmlu_anatomy,Success,1,1,
220,mmlu_anatomy,Skipped (All Correct),0,0,
221,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
222,mmlu_anatomy,Skipped (All Correct),0,0,
223,mmlu_anatomy,Skipped (All Correct),0,0,
224,mmlu_anatomy,Skipped (All Correct),0,0,
